,en,vi,char,
story.Prologue_Club_Theater.event_blanket_with_girls.text.4c2d8a638aa3c19312387020eff561157ad52547,What's this supposed to be? Do you guys sleep here?,Cái này để làm gì thế? Bộ chúng mày hay ngủ lại đây à?,Kat,catface2
story.Prologue_Club_Theater.event_blanket_with_girls.text.241dfaafc6b632a8901b1fcd3bf2ee503c92fb0f,Obviously not.,Làm gì có chuyện đó.,Saki,annoyed
,,,,
story.Prologue_Club_Theater.event_broke_light.text.3f3c5a118bcade28eb397c1e7115f8ba179c5864,"I can't believe this, are you five years old?","Không thể tin nổi, mày trẻ lên 5 à?",Saki,angry2
story.Prologue_Club_Theater.event_broke_light.text.bc05611b43ebffdfc385c18af6a20de36fe60aa7,Isn't it interesting how electronics work?,Xem cách thức đồ điện vận hành không thấy hứng thú sao?,Kat,happy2
story.Prologue_Club_Theater.event_broke_light.text.bfbce03699719848712cd75a4081e6f8c9f5a778,But they DON'T work! Not anymore!,Nhưng mà giờ HỎNG ĐÈN mất tiêu rồi còn đâu!?,Saki,annoyed3
story.Prologue_Club_Theater.event_broke_light.text.27362b962f0875d9c84f6d2beefbd9c957025b01,I think you're wasting your breath…,Tao thấy càng nói càng phí lời thôi…,Juli,annoyed
,,,,
story.Prologue_Club_Theater.event_read_letter.text.6ccf1296ed0e7a858165286bc98f1b231adac870,"""Roses are red
Violets are probably violet""","""Hoa hồng đỏ thắm
Phi yến tím chăng""",,
story.Prologue_Club_Theater.event_read_letter.text.274dc44a901fe8bc73ab84b6d5b8e460f21beac6,"""My love for you sparkles
Like the glow of a diamond""","""Yêu em lấp lánh
Như ánh kim cang""",,
story.Prologue_Club_Theater.event_read_letter.text.c86204783cc1781dd7bf9edb0423c857d537c1bb,"""I watch you every day
I watch you every night""","""Ngày ngày nhìn em
Trông em đêm ngày""",,
story.Prologue_Club_Theater.event_read_letter.text.2f3fe79fdc9aca07ad09452e309732f4fede50be,"""I watch you""","""Nhìn em""",,
story.Prologue_Club_Theater.event_read_letter.text.b5089f6c6b5dcb9f150eb269a4fee0d8ca307c54,"""I watch you I watch you I watch you I watch you I watch you I watch you""","""Nhìn em trông em nhìn em trông em nhìn em trông em""",,
story.Prologue_Club_Theater.event_read_letter.text.db8bccc674b8ba58f7b1263c75915818ef580d82,The other side of the paper is filled with black scribbles.,Mặt sau tờ giấy bị tô lem nhem kín màu đen.,,
,,,,
story.Prologue_Club_Theater.event_read_letter.text.4160ac98f592ba346c39c5484f5404d31815bd37,That… doesn't sound right.,Đọc thấy… kì quái ấy.,Kat,surprised
,,,,
story.Prologue_Club_Theater.event_read_letter.text.3ccdbf5756bedf81c5c41e428dc7b9556b188af6,Is… everyone in your club okay?,Mấy người trong câu lạc bộ mày… không sao đấy chứ?,Kat,default
story.Prologue_Club_Theater.event_read_letter.text.01b9a27028be72a12a29d887050352893057170b,"Right now, I'm not sure…",Giờ tao cũng không biết nữa…,Saki,concerned
,,,,
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.0f8138ea884aa9649263a2462276077d77d33839,I'd rather people didn't find out I was here.,Đừng có để lại dấu vết mình có ở đây thì hơn.,Kat,
,,,,
story.Prologue_Club_Theater.item_chalk_on_chalkboard.text.917a80a8b7976769ba308612a7c9127b2fd85f98,Please don't mess up this room…,Làm ơn đừng có phá phách cái phòng này…,Saki,
,,,,
story.Prologue_Club_Theater.item_curtains_get.text.e927aaa5c5f651011602e386f3b08ba7db19c984,A pile of neatly folded drapes.,Rèm được gấp thành đống gọn gàng.,,
,,,,
story.Prologue_Club_Theater.item_curtains_get.choice.text.36870c0bf0576b146e0ca71df1c2b59120376826,Take them?,Lấy đi chứ?,,
story.Prologue_Club_Theater.item_curtains_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Lấy,,
story.Prologue_Club_Theater.item_curtains_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,,
story.Prologue_Club_Theater.item_curtains_get.text.f957919718ff23b5025ae2746ec82b5dbe67cd23,This could be useful.,Cái này có khi dùng được.,Kat,
,,,,
story.Prologue_Club_Theater.item_curtains_get.text.690c2982c67ec91e21b03e3390b30c53b4afed4a,You don't need this anymore.,Không cần cái này nữa.,,
,,,,
story.Prologue_Club_Theater.item_lighter_on_box.text.ae78d23e418b00ffd21cf4c6c0ae859d10e4e2f8,Those poor boxes probably don't deserve it.,Mấy cái thùng đáng thương này không đáng vậy đâu.,,
,,,,
story.Prologue_Club_Theater.item_lighter_on_curtain.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,Thôi hôm nay không đốt trường học đâu.,Kat,
story.Prologue_Club_Theater.item_lighter_on_curtain.text.583ed21a9497f79dfda0c41f07d5d9f1339fa489,"Wow, thank you for your generosity.","Ôi chao, cảm ơn tấm lòng độ lượng của mày nha.",Saki,
,,,,
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.cfce5bfc933dd14896bab9502b18275d5058761f,Oh how I wish…,"Ôi, thèm được lắm ấy chứ…",Kat,sarcastic
story.Prologue_Club_Theater.item_lighter_on_rack_clothes.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,…,Saki,
,,,,
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.5127ee45f5d64a6fbfe3f27c37d8beea71cf8b3f,"Alright, let's see…",Nào để coi…,Kat,blank2
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.ac239fd3041f4009bca0d9c848b8e6b227d01dab,There's a ton of useless objects in the boxes and….. a letter.,Hàng đống đồ vô tích sự trong thùng với… bức thư.,Kat,blank3
,,,,
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.text.989d19b55177493e3f88ef9d9231013197c6ecd7,Read it?,Đọc chứ?,,
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,Đọc,,
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,Thôi,,
,,,,
story.Prologue_Club_Theater.item_scissors_on_boxes_bottom.text.cba0c319a35c611ede5affd4f780250d381eb0bb,They're already open.,Thùng đã mở rồi.,,
,,,,
story.Prologue_Club_Theater.item_scissors_on_boxes_top.text.36c23515fb3491dc51fbe435e7c933608abf2b5d,There's no point in brandishing your scissors at them. They're already open.,Không cần phải khua kéo vào mớ thùng đâu. Mở cả rồi.,,
,,,,
story.Prologue_Club_Theater.misc_blankets.text.7d58924587d931c1d9295ff4ccf9a401cd4a4621,Some blankets are sprawled all over the floor.,Vài tấm mền được trải ngổn ngang trên sàn.,,
story.Prologue_Club_Theater.misc_blankets.text.14221a0010640ed840b311d97766d6caa5bb2f93,They are too heavy to use as curtains.,Mà nặng quá không dùng làm rèm được.,,
,,,,
