,en,ja
story.Prologue_Garden.event_bad_solution.text.a598d73ca3eb93a3390be110c96c1611c6c719a7,The flower sank into the water.,花は水に沈んだ。
story.Prologue_Garden.event_bad_solution.text.1fa7c4afef630a8a867031e6af55293aa9142750,Pity.,かわいそうに。
story.Prologue_Garden.event_bad_solution.text.639caa765a4cb15ecb4d27e669c97ca1a81773a2,You thought that would work?,うまくいくと思いましたか？
story.Prologue_Garden.event_bad_solution.text.52d9a56553314904be83193c25cdf76c1160bc88,You should be more careful about the decisions you make.,決断には、もっと気を付けることです。
story.Prologue_Garden.event_bad_solution.text.b236196df5bd53aa2f03170184b4734c0d0a7107,"The solution may seem obvious, but…",解決策は一見明白かもしれませんが、しかし……
story.Prologue_Garden.event_bad_solution.text.e2613d8333cd43316df239498df6e5de6087c99c,THERE IS ALWAYS ANOTHER WAY,常に別のやり方があります
story.Prologue_Garden.event_bad_solution.text.2e81eb0b7429096866b9537b5926eab9741392a3,"You may not notice it right away, but your actions will have an impact sooner or later.",すぐには気づかないかもしれませんが、あなたの行動の影響は遅かれ早かれ現れます。
story.Prologue_Garden.event_bad_solution.text.98f93521a96489eb5e6ef7322c03940ba5753d9e,You may not even remember what you did to cause it.,何が原因だったのかさえ、思い出せないことがあるかもしれません。
story.Prologue_Garden.event_bad_solution.text.45988cb16a64939bba66ac6d231558c00c954fbd,"Sadly, regret is always in the shadow of choice.",悲しいことですが、選択の影にはいつも後悔がつきまといます。
story.Prologue_Garden.event_bad_solution.text.c27b971a448d670eff70abd319bbe67dcace005f,"Also, you know very well this isn't your home.",それに、ここがあなたの家ではないことは、よくわかっていたはずです。
story.Prologue_Garden.event_bad_solution.text.5052aeaf4e35ec320c7239ce713e9ad8b67479c0,So why do you mess with things that don't belong to you?,それなのに、どうして自分のものではないものを弄んだのですか？
story.Prologue_Garden.event_bad_solution.text.bef736ee3072ed68815ed580732162970d471b32,YOU'RE NOT WELCOME HERE,あなたはここでは歓迎されていません
story.Prologue_Garden.event_bad_solution.text.cd5c9dd329cbd2782d8e00e2a803ff25b2b4e245,Look.,ご覧なさい。
story.Prologue_Garden.event_bad_solution.text.dc8f9fa1e5b7c5d9fef5c75d3e64b3e5a113d3e3,This is the result of your actions.,これが、あなたの行動の結果です。
story.Prologue_Garden.event_bad_solution.text.89fec136d1b4b408a0c2f771bdedd79a8c8608d8,The result of your expectations.,あなたの期待の結果です。
story.Prologue_Garden.event_bad_solution.text.a9490e0258e10377768fe14e3dc37d01edffbc8a,Things are not always what they seem.,物事は見かけ通りとは限りません。
story.Prologue_Garden.event_bad_solution.text.cd736b5333fc128d68924f875f6840884b762349,What do you think?,どうです？
story.Prologue_Garden.event_bad_solution.text.9f59ea6972c737653f5e0c25d90b7ac1fb4369c1,Does this still look like a flower to you?,これが、まだ花に見えますか？
story.Prologue_Garden.event_bad_solution.text.c65f311b5ad15bb32d0d5c42f62ca3ebe59bf758,You're not prepared to deal with the truth.,あなたは真実に触れる準備ができていない。
story.Prologue_Garden.event_bad_solution.text.b7b70cb3112f4642519025f225b7dd99acbfe933,Are you?,そうでしょう？
story.Prologue_Garden.event_bad_solution.text.5e8b13dc0c50ea3e5c3f2efc55cc71584d3976f6,I can't stop you from coming here.,私には、あなたがここに来るのを止めることはできません。
story.Prologue_Garden.event_bad_solution.text.fa9d52baaa97c2745f8bb661ce7dca15377ba643,"But if you're foolish enough to cross my path,",ですがもし、あなたが愚かにも私の行く手に現れるなら、
story.Prologue_Garden.event_bad_solution.text.eae00ae6306f732b2502939de6bd80f258600b41,I'LL KILL YOU MYSELF,この手であなたを殺します
story.Prologue_Garden.event_bad_solution.text.bfc6aa79cea94e1c711ffd3288f1beebc7541fbd,…such is the way of our world.,……それが、私たちの世界のやり方です。
story.Prologue_Garden.event_good_solution.text.6eae3a5b062c6d0d79f070c26e6d62486b40cb46,…,……
story.Prologue_Garden.event_good_solution.text.5cfe03df4e9d0223b2d7027339b6d34caafc9096,The door opened!,扉が開いた！
story.Prologue_Garden.event_good_solution.text.0d6892d788c77911f0facc1697637dc14d9644ea,Fascinating.,おもしろい。
story.Prologue_Garden.event_good_solution.text.91d1af1808e53ac5ca18c42a546821991f5f51d2,You've done the opposite of what I expected.,あなたは私の予測とは正反対のことをしました。
story.Prologue_Garden.event_good_solution.text.89b2851268e4e2dadf678d45c25be389fa63bf65,A delightful surprise.,嬉しい誤算です。
story.Prologue_Garden.event_good_solution.text.df7a71dc641dabf00efd212a612671e163ad16e1,"How did you know, I wonder?",一体、どうしてわかったのでしょう？
story.Prologue_Garden.event_good_solution.text.3976c32e05dc29ffa5f7a0b580a5a8d4de443135,Perhaps you're different.,あなたが変わっているからか、
story.Prologue_Garden.event_good_solution.text.19fdf88d5ae5d59db9bfab79264df4322a0213d3,Or perhaps…,あるいは……
story.Prologue_Garden.event_good_solution.text.3ec6a35a15fe6acb1cff44149ff8895fb73ad523,…you cheated?,……ズルをしたか？
story.Prologue_Garden.event_good_solution.text.bb177203c476abd688024a04a3a5a1955e5927a0,How odd.,奇妙なことです。
story.Prologue_Garden.event_good_solution.text.165109613978587464e28f6f03c627cb033b7bb6,"Regardless, I advise you not to mess with things that don't belong to you.",いずれにしても、自分のものではないものを弄ばないことです。
story.Prologue_Garden.event_good_solution.text.c3c6837cb2a0531897bdbfecb29d33a203fc3448,It's not safe for you.,それは、危険な行いです。
story.Prologue_Garden.event_good_solution.text.a39d0978856f1ce2c0ac1d11038ab0f7bec752af,"As you already know, in this place…",既にご存知の通り、ここでは……
story.Prologue_Garden.event_good_solution.text.2a238afab266ca4c0d0c180aca8a35393d468e44,THINGS ARE NOT ALWAYS WHAT THEY SEEM,ものごとは見かけ通りとは限りません
story.Prologue_Garden.event_good_solution.text.2b7910c03535a0ac722b2e61f915c5af83c7458d,"The answers you're looking for are not yours to take,","あなたが探している答えは、あなたが知るべきものでは
なく、"
story.Prologue_Garden.event_good_solution.text.c37a9a334962b6fd5eeed1b4f9c3c24522960ec9,You're not ready to learn the truth…,あなたは、真実を知る準備ができていない……
story.Prologue_Garden.event_good_solution.text.9b7b3da98e5c4e6c9473cc4d915f7fa9df117f51,…and the truth is not willing to be learned by you.,そして真実は、あなたに知られたがっていない。
story.Prologue_Garden.event_good_solution.text.4b8dd121ad35511ae46dd75b53ce7c758fabd2af,I can't stop you from coming.,私にはあなたが来るのを止めることはできません。
story.Prologue_Garden.event_good_solution.text.0cce36ae4abcfa59610894e3bec60998639db467,"Just know that if you do,",ですが、もし来れば、
story.Prologue_Garden.event_good_solution.text.b1cd359f15bcfa1ce2b75d70e5f8bf3143d9bf8c,YOU WILL BE KILLED,あなたは殺されます
story.Prologue_Garden.event_good_solution.text.bfc6aa79cea94e1c711ffd3288f1beebc7541fbd,…such is the way of our world.,……それが、私たちの世界のやり方です。
story.Prologue_Garden.event_tutorial_itemuse.text.5b15e664cfbdc9d6bec3cbb90ddb03e20ffd33c3,The building ahead seems locked somehow.,先のほうにある建物には、鍵がかかっているようだ。
story.Prologue_Garden.event_tutorial_pickup.text.4678acfef4d752ecb17059c444d3082850bafdce,There's a white flower on the ground.,地面に白い花がある。
story.Prologue_Garden.item_bad_flower_get.choice.text.58b8aa01d3fc4b103167fbf330e13e313ccbafab,Take Flower?,花を拾う？
story.Prologue_Garden.item_bad_flower_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,拾う
story.Prologue_Garden.item_bad_flower_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,拾わない
story.Prologue_Garden.item_bad_flower_on_vase1.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_bad_flower_on_vase2.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
story.Prologue_Garden.item_bad_flower_on_vase3.text.2e15bf3cad2db000eb5f3123113c3813aa41ad49,There's already a flower there.,既に花が活けてある。
