,en,vi,
story.Prologue_Nightmare_2.misc_man.text.45be88071f2d4abbd0d135660354929b4af0cf76,…Damn it.,…Chết tiệt.,x
,,,x
story.Prologue_Nightmare_2.misc_man.text.758065e344c242e010f648b78d5329288ad12027,There's nothing there.,Ở đó không có gì cả.,x
,,,x
story.Prologue_Nightmare_2.misc_windows.text.261512b2b1e20c8b365f37a65106b7883a8100b2,It's too dark to see anything on the other side.,Tối quá phía bên kia chả thấy gì.,x
,,,x
story.Prologue_Nightmare_2.move_next.text.e1a9d316db30e9965098c1cd8d879c26328eb46f,"Do you even know where you are? You chose a one-way trip to hell, kid.",Cả đây là đâu mày cũng không có biết luôn hả? Mày lựa vé một chiều xuống địa ngục rồi con ạ.,x
story.Prologue_Nightmare_2.move_next.text.4e1d74846ae55956c90698b953836f34c1bf3470,Where are you…?,Mày đang ở đâu…?,x
story.Prologue_Nightmare_2.move_next.text.94bfcbe5294da633b3b99aa6f766056f2eb78bdf,"Well, If you're not gonna help, then be quiet.","Được lắm, nếu không có ý định giúp đỡ thì im mồm đi.",x
story.Prologue_Nightmare_2.move_next.text.d2581e58a340be7dc5425bbd6aa4e6088082e275,I'll leave once I find what I came for.,Một khi tao kiếm được thứ tao cần tìm là tao ra về luôn.,x
,,,x
story.Prologue_Nightmare_2.move_return.text.e808c8a48d1fae99bf0b3c1936f20434ccc1943a,The door is stuck. It won't open.,Cửa bị kẹt không mở được.,x
