,en,ja
story.Prologue_Club_Theater.event_blanket_with_girls.text.4c2d8a638aa3c19312387020eff561157ad52547,What's this supposed to be? Do you guys sleep here?,何でこんなものがあるの？　あなたたちここで寝てるわけ？
story.Prologue_Club_Theater.event_blanket_with_girls.text.241dfaafc6b632a8901b1fcd3bf2ee503c92fb0f,Obviously not.,そんなわけないじゃない。
story.Prologue_Club_Theater.event_broke_light.text.3f3c5a118bcade28eb397c1e7115f8ba179c5864,"I can't believe this, are you five years old?",信じられない、あんた5歳児？
story.Prologue_Club_Theater.event_broke_light.text.bc05611b43ebffdfc385c18af6a20de36fe60aa7,Isn't it interesting how electronics work?,電気の働きって興味深くない？
story.Prologue_Club_Theater.event_broke_light.text.bfbce03699719848712cd75a4081e6f8c9f5a778,But they DON'T work! Not anymore!,でも働かなくなっちゃったじゃない！　今はもう！
story.Prologue_Club_Theater.event_broke_light.text.27362b962f0875d9c84f6d2beefbd9c957025b01,I think you're wasting your breath…,構うだけ無駄だと思うわよ……
story.Prologue_Club_Theater.event_read_letter.text.6ccf1296ed0e7a858165286bc98f1b231adac870,"""Roses are red
Violets are probably violet""","「バラは赤く
スミレはたぶんスミレ色で」"
story.Prologue_Club_Theater.event_read_letter.text.274dc44a901fe8bc73ab84b6d5b8e460f21beac6,"""My love for you sparkles
Like the glow of a diamond""","「あなたへの愛はきらめく
ダイヤの輝きのように」"
story.Prologue_Club_Theater.event_read_letter.text.c86204783cc1781dd7bf9edb0423c857d537c1bb,"""I watch you every day
I watch you every night""","「毎日あなたを見てる
毎晩あなたを見てる」"
story.Prologue_Club_Theater.event_read_letter.text.2f3fe79fdc9aca07ad09452e309732f4fede50be,"""I watch you""",「あなたを見てる」
story.Prologue_Club_Theater.event_read_letter.text.b5089f6c6b5dcb9f150eb269a4fee0d8ca307c54,"""I watch you I watch you I watch you I watch you I watch you I watch you""",「あなたを見てるあなたを見てるあなたを見てるあなたを見てるあなたを見てるあなたを見てる」
story.Prologue_Club_Theater.event_read_letter.text.db8bccc674b8ba58f7b1263c75915818ef580d82,The other side of the paper is filled with black scribbles.,裏側は乱雑に黒く塗りつぶされている。
story.Prologue_Club_Theater.event_read_letter.text.4160ac98f592ba346c39c5484f5404d31815bd37,That… doesn't sound right.,変な……手紙ね。
story.Prologue_Club_Theater.event_read_letter.text.3ccdbf5756bedf81c5c41e428dc7b9556b188af6,Is… everyone in your club okay?,あなたの部の人……大丈夫？
story.Prologue_Club_Theater.event_read_letter.text.01b9a27028be72a12a29d887050352893057170b,"Right now, I'm not sure…",今は、自信が持てないわ……
