,en,ja
story.Prologue_Classroom_1.event_boxpuzzle_fail.text.c5aee63788641e3591cd00243336ec5332b5e037,I think I'll just do it later.,また後にしよう。
story.Prologue_Classroom_1.event_boxpuzzle_success.text.ec34c9e31a757fa730189b514a47c8a682d03a33,That was easy.,簡単だった。
story.Prologue_Classroom_1.item_candles_on_desks.text.87d3eaef68887c05be7b24ccd160e1b33ab3106e,This isn't the right classroom for that.,それをするのはこの教室ではない。
story.Prologue_Classroom_1.item_chalk.text.004ccd56b002de2e15a0e5e583d482e9b2363b6e,The path is already drawn.,道はもう描いてある。
story.Prologue_Classroom_1.item_chalk.text.948d8b2c36e66fc40d736faa8415a54c32e2e197,Not yet. I'd rather make sure I have everything I need first.,まだダメ。先に必要なものを集めておきたい。
story.Prologue_Classroom_1.item_chalk.text.ccb1964d634b8a6efbb6a1762c66e590109e0ed9,Not yet. I want to finish preparing the classrooms first.,まだダメ。先に教室の準備をしておきたい。
story.Prologue_Classroom_1.item_chalk_get.text.d35f976759b8e3d3410d8d4183aaa53330857dde,There's some chalk here.,チョークがいくつかある。
story.Prologue_Classroom_1.item_chalk_get.choice.text.e8d32d47491e2462d1e83b81526638ac486785c4,Take it?,取る？
story.Prologue_Classroom_1.item_chalk_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,取る
story.Prologue_Classroom_1.item_chalk_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,取らない
story.Prologue_Classroom_1.item_chalk_on_chalkboard.text.f65fd7db1d4855f7802d390a5a1ae1656c3ad1bb,I'd rather not get into anymore trouble than I already am.,これ以上問題を起こすのは控えたい。
story.Prologue_Classroom_1.item_hairpin_get.text.5d0bcddb564a5ccefc3db7515c86f3ba2b95098f,This is my desk. I keep all kinds of cool stuff here.,私の机。色んなカッコいいものが入ってる。
story.Prologue_Classroom_1.item_hairpin_get.text.74b9c1a0742b52656e356411833abed9d754f074,This might be useful.,これは役に立つかも。
story.Prologue_Classroom_1.item_hairpin_get.choice.text.a2e1c4af7890c4ad0dd620398fba479098e5f7bc,Take Dusty Hairpin?,くすんだヘアピンを取る？
story.Prologue_Classroom_1.item_hairpin_get.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,取る
story.Prologue_Classroom_1.item_hairpin_get.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,取らない
story.Prologue_Classroom_1.item_hairpin_get.text.8547d6d3a10f3bcc5bab57a1f8d7229b598f0b4f,There's nothing else of use for today.,他に今日役に立つものはもうない。
story.Prologue_Classroom_1.item_hairpin_get.text.936d729d7b510bcf05a40b259ceec5e0eabe1923,My desk. I don't need anything from it right now.,私の机。いま特に必要なものは入ってない。
story.Prologue_Classroom_1.item_lighter_on_desks.text.3adfe6b1f1e9026c0734b1e39793ba66e53343ed,Burning the school down is not part of the ritual.,儀式の手順に学校への放火は含まれていない。
story.Prologue_Classroom_1.item_lighter_on_window1.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,今日は学校を焼失させるのはやめておこう。
story.Prologue_Classroom_1.item_lighter_on_window2.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,今日は学校を焼失させるのはやめておこう。
story.Prologue_Classroom_1.item_lighter_on_window3.text.4f991da92f6952d95a516d344927d59a4e7bee2e,I think I'll pass on burning the school down today.,今日は学校を焼失させるのはやめておこう。
story.Prologue_Classroom_1.item_scissors.text.03a3ffa5b4df2f341b2e103bf765a7f6d6fe2a13,There's a pair of scissors here.,ハサミがある。
story.Prologue_Classroom_1.item_scissors.choice.text.737b4a88619929e4c0dbe0c99e1855c6308e3cc9,Take Scissors?,ハサミを取る？
story.Prologue_Classroom_1.item_scissors.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,取る
story.Prologue_Classroom_1.item_scissors.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,取らない
story.Prologue_Classroom_1.item_scissors_on_plant.text.32c9aa0ef29cbdc3d781c065a4a0f57fba68afcd,It's already done.,もう切ってある。
story.Prologue_Classroom_1.item_scissors_on_plant.text.e3c35488f648b0db0375773a5a07c86be37d04e0,This isn't the time for that.,今はそんな事をしている場合ではない。
story.Prologue_Classroom_1.item_scissors_on_shelf.choice.text.20a379d7867faf6c0ee3d157ce850f9bdcd5f19e,Return scissors?,ハサミを戻す？
story.Prologue_Classroom_1.item_scissors_on_shelf.choice.5397e0583f14f6c88de06b1ef28f460a1fb5b0ae,Yes,戻す
story.Prologue_Classroom_1.item_scissors_on_shelf.choice.816c52fd2bdd94a63cd0944823a6c0aa9384c103,No,戻さない
story.Prologue_Classroom_1.misc_books.text.34db7baba60e689bbf5a20d028970ba0ee310895,Some geometry books.,幾何学の教科書数冊。
story.Prologue_Classroom_1.misc_chalkboard.text.996c7ffde7f4de6e04435eeeafaf0751c8d69a1c,A clean chalkboard.,きれいな黒板。
story.Prologue_Classroom_1.misc_desk.text.9eb16580a197d2cf1a69fc82764f982b5be5d5e7,A wooden desk.,木の机。
story.Prologue_Classroom_1.misc_paper.text.7a8513c8b86872e6f345677972049ae1a79eaa6d,A paper slip with rules for students.,校則の書かれた紙。
story.Prologue_Classroom_1.misc_paper.text.9b51fa75eb214b4950d4c5125c200db923b3232b,There's no time for rules right now.,今は校則を守ってる時間はない。
story.Prologue_Classroom_1.misc_pinboard.text.33e38a6ca97d020cf943319b0b6050a281afb2ca,Some classroom attendance sheets and schedules.,出欠表とスケジュール表。
story.Prologue_Classroom_1.misc_plant.text.7219399b824ee80374fd4252111163dbe7afa70c,A happy green plant.,楽しげな観葉植物。
story.Prologue_Classroom_1.misc_plant.text.125dd56afe0d4478e1a7f34c9ec48fc2a7e4bd6c,The plant is no longer happy.,観葉植物。もう楽しげじゃない。
story.Prologue_Classroom_1.misc_podium.text.760df8526ebfc0a8d9b9154494a4cd9c6baf7726,The teacher's podium.,教壇。
story.Prologue_Classroom_1.misc_shelf.text.bd28c802e52a8bcdea8b40a5aeb08aab922efd18,Some boring textbooks.,退屈な教科書数冊。
