,en,ja
items.prologue.bad_flower.name,White Flower,白い花
items.prologue.bad_flower.description,A white flower I found on the grass. It appears to be a lily… I think.,地面にあった白い花。百合……だと思う。
items.prologue.white_flower.name,Wet White Flower,湿った白い花
items.prologue.white_flower.description,A white flower I took from a vase. It's probably a Lily.,花瓶から取った白い花。たぶん百合だと思う。
items.prologue.ritual_notes.name,Ritual Notes,儀式のメモ
items.prologue.ritual_notes.description,I put everything I need to remember here.,覚えておくべきことは全部ここに書いてある。
items.prologue.ritual_notes2.name,Ritual Notes (Drawing),儀式のメモ(絵)
items.prologue.ritual_notes2.description,This is how it looks in my head.,儀式の大体のイメージ。
items.prologue.candles.name,Candles,ロウソク
items.prologue.candles.description,A bunch of candles. I need these for the ritual.,大量のロウソク。儀式のために必要。
items.prologue.chalk.name,Chalk,チョーク
items.prologue.chalk.description,A piece of chalk. I can draw various things with it.,チョーク。色んなものが描ける。
items.prologue.curtains.name,Curtains,カーテン
items.prologue.curtains.description,Red blackout curtains used to block as much light as possible.,光を可能な限り遮るのに使われる赤の遮光カーテン。
items.prologue.lighter.name,Lighter,ライター
items.prologue.lighter.description,"My personal lighter. I don't smoke, but I enjoy watching things burn.",わたしの私物。煙草は吸わないけど、ものが燃えるのを見るのは好きだから。
items.prologue.lighter2.name,Old Lighter,古いライター
items.prologue.lighter2.description,An old lighter I had lost a long time ago. It doesn't seem to work anymore.,かなり前に没収されたライター。もう火は点かなさそう。
items.prologue.scissors.name,Scissors,ハサミ
items.prologue.scissors.description,A regular pair of scissors. Not pointy enough to stab people with.,ごく普通のハサミ。人を刺せるほど尖ってはない。
items.prologue.tuft01.name,Girl's Hair,女の子の髪
items.prologue.tuft01.description,A tuft of hair I cut from the girl with brown hair.,茶髪の子から切った髪の毛。
items.prologue.tuft02.name,Girl's Hair,女の子の髪
items.prologue.tuft02.description,A tuft of hair I cut from the girl with black hair.,黒髪の子から切った髪の毛。
items.prologue.tuft03.name,Girl's Hair,女の子の髪
items.prologue.tuft03.description,A tuft of hair I cut from the girl with dark brown hair.,暗い茶色の髪の子から切った髪の毛。
items.prologue.tuft00.name,My Hair,自分の髪
items.prologue.tuft00.description,A bit of hair I cut from myself. Looking at it makes me sad.,自分の髪の毛少々。見てると悲しくなる。
items.prologue.rune_berkana.name,Protective Rune,守護のルーン
items.prologue.rune_berkana.description,A rune with some ancient symbol engraved.,古代のシンボルが彫られたルーン。
items.prologue.rune_inguz.name,Protective Rune,守護のルーン
items.prologue.rune_inguz.description,A rune with some ancient symbol engraved.,古代のシンボルが彫られたルーン。
items.prologue.rune_kaunaz.name,Protective Rune,守護のルーン
items.prologue.rune_kaunaz.description,A rune with some ancient symbol engraved.,古代のシンボルが彫られたルーン。
items.prologue.girl1_notebook.name,Student's Notebook,生徒のノート
items.prologue.girl1_notebook.description,"A red notebook, probably forgotten by a student. The color and design are not my style.",生徒が忘れていったらしい赤いノート。こういう色やスタイルは私の趣味じゃない。
items.prologue.key_theater_club.name,Theater Club Key,演劇部室の鍵
items.prologue.key_theater_club.description,The key to open the theater club room.,演劇部室を開けるための鍵。
items.prologue.hairpin.name,Dusty Hairpin,くすんだヘアピン
items.prologue.hairpin.description,My trusty hairpin! I have a feeling this could come in handy.,私の頼れるヘアピン！ 役に立つような気がする。
items.prologue.key_hod.name,Fairly Normal-Looking Key,ごく普通の鍵
items.prologue.key_hod.description,A key I found on a long hallway.,長い廊下で見つけた鍵。
items.prologue.lettuce.name,Lettuce,レタス
items.prologue.lettuce.description,You're not supposed to have this in your inventory.,これがインベントリに入ることはない。
items.prologue.locker_key.name,Small Key,小さい鍵
items.prologue.locker_key.description,"A small key, probably for a locker.",恐らくロッカー用の、小さい鍵。
items.prologue.blueprints.name,Strange Blueprints,奇妙な青写真
items.prologue.blueprints.description,Blueprints for an unknown device. You can't make heads or tails out of it.,謎の機械の青写真。何なのかさっぱりわからない。
