,en,vi
story.Prologue_Garden.event_bad_solution.text.a598d73ca3eb93a3390be110c96c1611c6c719a7,The flower sank into the water.,Bông hoa chìm xuống nước rồi.
story.Prologue_Garden.event_bad_solution.text.1fa7c4afef630a8a867031e6af55293aa9142750,Pity.,Đáng thương thay.
story.Prologue_Garden.event_bad_solution.text.639caa765a4cb15ecb4d27e669c97ca1a81773a2,You thought that would work?,Mày tưởng thế là được à?
story.Prologue_Garden.event_bad_solution.text.52d9a56553314904be83193c25cdf76c1160bc88,You should be more careful about the decisions you make.,Nên để ý hơn tới quyết định của mình đi.
story.Prologue_Garden.event_bad_solution.text.b236196df5bd53aa2f03170184b4734c0d0a7107,"The solution may seem obvious, but…","Cách giải quyết thoạt nhìn thì rõ ràng đấy, nhưng mà…"
story.Prologue_Garden.event_bad_solution.text.e2613d8333cd43316df239498df6e5de6087c99c,THERE IS ALWAYS ANOTHER WAY,LUÔN LUÔN CÓ CÁCH LÀM KHÁC
story.Prologue_Garden.event_bad_solution.text.2e81eb0b7429096866b9537b5926eab9741392a3,"You may not notice it right away, but your actions will have an impact sooner or later.","Có lẽ mày không nhận ra ngay đâu, nhưng hành động của mày sớm muộn cũng sẽ có ảnh hưởng."
story.Prologue_Garden.event_bad_solution.text.98f93521a96489eb5e6ef7322c03940ba5753d9e,You may not even remember what you did to cause it.,Có khi mày còn chẳng nhớ ra căn nguyên mà mày đã gây nên nữa cơ.
story.Prologue_Garden.event_bad_solution.text.45988cb16a64939bba66ac6d231558c00c954fbd,"Sadly, regret is always in the shadow of choice.","Buồn thay, trong cái bóng của lựa chọn thì lúc nào cũng đeo đẳng hối hận."
story.Prologue_Garden.event_bad_solution.text.c27b971a448d670eff70abd319bbe67dcace005f,"Also, you know very well this isn't your home.","Với lại, mày biết rất rõ đây không phải nhà của mày mà."
story.Prologue_Garden.event_bad_solution.text.5052aeaf4e35ec320c7239ce713e9ad8b67479c0,So why do you mess with things that don't belong to you?,Thế tại sao mày lại xía vào những thứ không thuộc về mình vậy?
