,en,vi
tutorials.boxpuzzle.name,Minigame: Box Puzzle,Minigame: Đẩy Hộp
tutorials.boxpuzzle.text,Push the desks into the green zones to complete the puzzle,Đẩy bàn học vào ô xanh lá để hoàn tất puzzle này
tutorials.interaction.name,Interacting,Tương tác
tutorials.interaction.text,Press {0} to interact with the environment,Bấm {0} để tương tác với môi trường
tutorials.itemuse.name,Using Items,Sử dụng đồ
tutorials.itemuse.text,"To use an item, stand close and select the item from the menu ({0})","Để sử dụng đồ, đứng vào nơi muốn dùng rồi chọn đồ trong menu ({0})"
tutorials.menu.name,Opening the Menu,Mở Menu
tutorials.menu.text,Press {0} to open the menu and see your items,Bấm {0} để mở menu rồi xem đồ của mình
tutorials.movement.name,Moving,Di chuyển
tutorials.movement.text,Use {0}{1}{2}{3} to move,Dùng {0}{1}{2}{3} để di chuyển
tutorials.pickup.name,Picking Up Items,Nhặt đồ
tutorials.pickup.text,Press {0} to pick up items,Bấm {0} để nhặt đồ
tutorials.running.name,Running,Chạy
tutorials.running.text,"While moving, hold {0} to run","Khi đang đi chuyển, nhấn giữ {0} để chạy"
tutorials.save.name,Saving the Game,Lưu phần chơi
tutorials.save.text,"Crows can save your game. Save often, since the future is uncertain","Quạ có thể lưu phần chơi cho bạn.
Lưu thường xuyên nhé vì chuyện tương lai không biết được đâu"
tutorials.stairs.name,Climbing Stairs,Bước lên cầu thang
tutorials.stairs.text,Hold {0} while moving to climb up the stairs,Nhấn giữ {0} khi đang di chuyển để bước lên cầu thang
tutorials.timingbar.name,Minigame: Timing Bar,Minigame: Canh Vạch
tutorials.timingbar.text,Press {0} when the indicator matches the green zone,Bấm {0} khi vạch kẻ lọt vào vùng màu xanh lá
